"TIME","Vramp","Vo_1"
0,-2,4.9999
0.00656,-1.98032,4.9999
0.02856,-1.91432,4.9999
0.05056,-1.84832,4.9999
0.07256,-1.78232,4.9999
0.09456,-1.71632,4.9999
0.11656,-1.65032,4.9999
0.13856,-1.58432,4.9999
0.16056,-1.51832,4.9999
0.18256,-1.45232,4.9999
0.20456,-1.38632,4.9999
0.22656,-1.32032,4.9999
0.24856,-1.25432,4.9999
0.27056,-1.18832,4.9999
0.29256,-1.12232,4.9999
0.31456,-1.05632,4.9999
0.33656,-0.99032,4.9999
0.35856,-0.92432,4.9999
0.38056,-0.85832,4.9999
0.40256,-0.79232,4.9999
0.42456,-0.72632,4.9999
0.44656,-0.66032,4.9999
0.46856,-0.59432,4.9999
0.49056,-0.52832,4.9999
0.51256,-0.46232,4.9999
0.53456,-0.39632,4.9999
0.55656,-0.33032,4.9999
0.57856,-0.26432,4.9999
0.60056,-0.19832,4.9999
0.62256,-0.13232,4.9999
0.64456,-0.06632,4.9999
0.66656,-0.00032,4.9999
0.68856,0.06568,4.9999
0.71056,0.13168,4.9999
0.73256,0.19768,4.9999
0.75456,0.26368,4.9999
0.77656,0.32968,4.99989
0.79856,0.39568,4.99981
0.81456,0.44368,4.99931
0.82056,0.46168,4.99864
0.82256,0.46768,4.99841
0.82856,0.48568,4.99691
0.83456,0.50368,4.99391
0.83856,0.51568,4.99037
0.84256,0.52768,4.98475
0.84456,0.53368,4.9808
0.84656,0.53968,4.97582
0.84856,0.54568,4.96954
0.85056,0.55168,4.96162
0.85256,0.55768,4.95164
0.85456,0.56368,4.93905
0.85656,0.56968,4.9232
0.85856,0.57568,4.90322
0.86056,0.58168,4.87805
0.86256,0.58768,4.84636
0.86456,0.59368,4.80645
0.86656,0.59968,4.75622
0.86856,0.60568,4.69305
0.87056,0.61168,4.61364
0.87256,0.61768,4.5139
0.87456,0.62368,4.38875
0.87656,0.62968,4.23193
0.87856,0.63568,4.03572
0.88056,0.64168,3.79075
0.88256,0.64768,3.48564
0.88456,0.65368,3.1068
0.88656,0.65968,2.63821
0.88856,0.66568,2.06133
0.89056,0.67168,1.35518
0.89256,0.67768,0.496774
0.8939894582,0.681968,0.121026
0.8951026715,0.685308,0.0971995
0.8962283941,0.688685,0.0853934
0.8973290644,0.691987,0.0778894
0.8993290644,0.697987,0.0688508
0.9013290644,0.703987,0.0628168
0.9033290644,0.709987,0.0584023
0.9053290644,0.715987,0.0549725
0.9073290644,0.721987,0.0522558
0.9093290644,0.727987,0.0500228
0.9113290644,0.733987,0.0481498
0.9133290644,0.739987,0.0465559
0.9153290644,0.745987,0.0451825
0.9173290644,0.751987,0.0439868
0.9193290644,0.757987,0.0429366
0.9213290644,0.763987,0.0420072
0.9233290644,0.769987,0.0411792
0.9253290644,0.775987,0.0404373
0.9273290644,0.781987,0.0397691
0.9293290644,0.787987,0.0391645
0.9313290644,0.793987,0.0386153
0.9333290644,0.799987,0.0381144
0.9353290644,0.805987,0.037656
0.9373290644,0.811987,0.0372353
0.9393290644,0.817987,0.036848
0.9413290644,0.823987,0.0364906
0.9433290644,0.829987,0.03616
0.9453290644,0.835987,0.0358534
0.9473290644,0.841987,0.0355686
0.9493290644,0.847987,0.0353034
0.9513290644,0.853987,0.0350562
0.9533290644,0.859987,0.0348252
0.9553290644,0.865987,0.0346092
0.9573290644,0.871987,0.0344067
0.9593290644,0.877987,0.0342168
0.9613290644,0.883987,0.0340385
0.9633290644,0.889987,0.0338707
0.9653290644,0.895987,0.0337128
0.9673290644,0.901987,0.0335639
0.9693290644,0.907987,0.0334235
0.9713290644,0.913987,0.0332909
0.9733290644,0.919987,0.0331656
0.9773290644,0.931987,0.0329349
0.9813290644,0.943987,0.0327279
0.9853290644,0.955987,0.0325418
0.9893290644,0.967987,0.032374
0.9933290644,0.979987,0.0322224
0.9973290644,0.991987,0.0320853
1.001329064,1.00399,0.0319611
1.005329064,1.01599,0.0318485
1.009329064,1.02799,0.0317463
1.013329064,1.03999,0.0316535
1.015329064,1.04599,0.0316114
1.017329064,1.05199,0.0315692
1.021329064,1.06399,0.0314926
1.025329064,1.07599,0.0314231
1.031329064,1.09399,0.0313306
1.037329064,1.11199,0.0312507
1.043329064,1.12999,0.031182
1.049329064,1.14799,0.031123
1.055329064,1.16599,0.0310728
1.059329064,1.17799,0.0310445
1.061329064,1.18399,0.0310303
1.067329064,1.20199,0.0309947
1.075329064,1.22599,0.0309569
1.081329064,1.24399,0.0309357
1.083329064,1.24999,0.0309286
1.091329064,1.27399,0.0309087
1.099329064,1.29799,0.0308961
1.103329064,1.30999,0.0308934
1.109329064,1.32799,0.0308894
1.119329064,1.35799,0.0308913
1.125329064,1.37599,0.0308969
1.129329064,1.38799,0.0309007
1.141329064,1.42399,0.0309203
1.147329064,1.44199,0.0309341
1.153329064,1.45999,0.0309479
1.167329064,1.50199,0.0309883
1.169329064,1.50799,0.0309951
1.181329064,1.54399,0.0310363
1.191329064,1.57399,0.0310753
1.197329064,1.59199,0.0310987
1.213329064,1.63999,0.0311683
1.215329064,1.64599,0.031177
1.235329064,1.70599,0.031272
1.257329064,1.77199,0.0313841
1.279329064,1.83799,0.0315024
1.301329064,1.90399,0.0316255
1.323329064,1.96999,0.0317522
1.345329064,2.03599,0.0318818
1.367329064,2.10199,0.0320134
1.389329064,2.16799,0.0321466
1.411329064,2.23399,0.0322809
1.433329064,2.29999,0.0324159
1.455329064,2.36599,0.0325514
1.477329064,2.43199,0.032687
1.499329064,2.49799,0.0328227
1.521329064,2.56399,0.0329582
1.543329064,2.62999,0.0330934
1.565329064,2.69599,0.0332282
1.587329064,2.76199,0.0333625
1.609329064,2.82799,0.0334962
1.631329064,2.89399,0.0336293
1.653329064,2.95999,0.0337617
1.675329064,3.02599,0.0338934
1.697329064,3.09199,0.0340243
1.719329064,3.15799,0.0341545
1.741329064,3.22399,0.0342838
1.763329064,3.28999,0.0344123
1.785329064,3.35599,0.03454
1.807329064,3.42199,0.0346669
1.829329064,3.48799,0.0347929
1.851329064,3.55399,0.0349181
1.873329064,3.61999,0.0350425
1.895329064,3.68599,0.0351659
1.917329064,3.75199,0.0352886
1.939329064,3.81799,0.0354104
1.961329064,3.88399,0.0355314
1.983329064,3.94999,0.0356515
2,4,0.035742
