"TIME","Vramp","Vo_3"
0,-2,1.5
0.00656,-1.98032,1.50984
0.02856,-1.91432,1.54284
0.05056,-1.84832,1.57584
0.07256,-1.78232,1.60884
0.09456,-1.71632,1.64184
0.11656,-1.65032,1.67484
0.13856,-1.58432,1.70784
0.16056,-1.51832,1.74084
0.18256,-1.45232,1.77384
0.20456,-1.38632,1.80684
0.22656,-1.32032,1.83984
0.24856,-1.25432,1.87284
0.27056,-1.18832,1.90583
0.29256,-1.12232,1.93877
0.30856,-1.07432,1.96255
0.31456,-1.05632,1.97131
0.31856,-1.04432,1.97715
0.32656,-1.02032,1.98847
0.33256,-1.00232,1.99657
0.33656,-0.99032,2.00161
0.33856,-0.98432,2.00413
0.34256,-0.97232,2.00872
0.34656,-0.96032,2.01285
0.35056,-0.94832,2.01641
0.35456,-0.93632,2.01927
0.35856,-0.92432,2.02135
0.36256,-0.91232,2.02257
0.36656,-0.90032,2.02289
0.37056,-0.88832,2.02228
0.37456,-0.87632,2.02079
0.37856,-0.86432,2.01844
0.38056,-0.85832,2.01688
0.38256,-0.85232,2.01531
0.38656,-0.84032,2.01146
0.39056,-0.82832,2.00695
0.39456,-0.81632,2.00187
0.39856,-0.80432,1.99626
0.40256,-0.79232,1.99019
0.40856,-0.77432,1.98032
0.41456,-0.75632,1.96967
0.42056,-0.73832,1.95835
0.42456,-0.72632,1.95043
0.42656,-0.72032,1.94647
0.43256,-0.70232,1.9341
0.44056,-0.67832,1.91697
0.44656,-0.66032,1.90366
0.44856,-0.65432,1.89922
0.45656,-0.63032,1.88095
0.46456,-0.60632,1.86224
0.46856,-0.59432,1.85267
0.47456,-0.57632,1.83832
0.48456,-0.54632,1.8139
0.49056,-0.52832,1.799
0.49456,-0.51632,1.78906
0.50656,-0.48032,1.75878
0.51256,-0.46232,1.74343
0.51856,-0.44432,1.72807
0.53256,-0.40232,1.69177
0.53456,-0.39632,1.68653
0.54656,-0.36032,1.65505
0.55656,-0.33032,1.62855
0.56256,-0.31232,1.61264
0.57856,-0.26432,1.56984
0.59656,-0.21032,1.52128
0.60056,-0.19832,1.51041
0.61456,-0.15632,1.47236
0.62256,-0.13232,1.45048
0.63456,-0.09632,1.41764
0.64456,-0.06632,1.39012
0.65456,-0.03632,1.3626
0.66656,-0.00032,1.32939
0.67656,0.02968,1.30172
0.68856,0.06568,1.26836
0.69856,0.09568,1.24055
0.71056,0.13168,1.20705
0.72056,0.16168,1.17913
0.73256,0.19768,1.1455
0.74256,0.22768,1.11748
0.75456,0.26368,1.08375
0.76456,0.29368,1.05564
0.77656,0.32968,1.02181
0.78656,0.35968,0.993624
